time,stroke_usec,tick_usec,force,power,spm
558858373,1316864,-23290,36.859698,267.236132,31.9
558962896,1421387,-28809,24.095682,267.236132,31.9
559091716,1550207,-35717,15.668802,267.236132,31.9
559447952,0,39500,12.811922,267,31.4
559581338,133386,30465,21.543048,34.35497,31.4
559694200,246248,26907,27.617312,61.972282,31.4
559794772,346820,24096,34.445,96.417282,31.4
559888449,440497,23215,37.100498,133.51778,31.4
559980479,532527,22959,37.93205,171.44983,31.4
560073071,625119,23285,36.876872,208.326702,31.4
560169336,721384,24450,33.439842,241.766544,31.4
560419132,971180,-16724,71.496882,241.766544,31.4
560484550,1036598,-16849,70.44845,241.766544,31.4
560553570,1105618,-17701,63.822402,241.766544,31.4
560627515,1179563,-19884,50.581682,241.766544,31.4
560715645,1267693,-23980,34.7778,241.766544,31.4
560824821,1376869,-30492,21.503682,241.766544,31.4
560969229,1521277,-42883,10.867122,241.766544,31.4
561284709,0,40301,12.310722,241,32.6
561425754,141045,32174,19.319328,31.63005,32.6
561648572,363863,25332,31.157618,87.97847,32.6
561745967,461258,23974,34.794482,122.772952,32.6
561841518,556809,23822,35.229618,158.00257,32.6
561937464,652755,24097,34.428402,192.430972,32.6
562036281,751572,24956,32.112098,224.54307,32.6
562337280,1052571,-15633,81.817632,224.54307,32.6
562399067,1114358,-15865,79.455618,224.54307,32.6
562464337,1179628,-16953,69.572808,224.54307,32.6
562536806,1252097,-19446,52.880328,224.54307,32.6
562622056,1337347,-22767,38.579328,224.54307,32.6
562724350,1439641,-27766,25.934402,224.54307,32.6
562859096,1574387,-39660,12.710882,224.54307,32.6
563160649,0,40151,12.4002,224,31.9
563300844,140195,31522,20.123168,32.523368,31.9
563415123,254474,27307,26.820488,59.343856,31.9
563516281,355632,24197,34.146848,93.490704,31.9
563609272,448623,22863,38.246258,131.736962,31.9
563700455,539806,22656,38.949138,170.6861,31.9
563792109,631460,23067,37.58445,208.27055,31.9
563886706,726057,23880,35.061938,243.332488,31.9
564128961,968312,-20027,49.860098,243.332488,31.9
564195656,1035007,-16587,72.673568,243.332488,31.9
564261870,1101221,-17336,66.539648,243.332488,31.9
564337575,1176926,-20212,48.945618,243.332488,31.9
564424251,1263602,-23023,37.723298,243.332488,31.9
564519646,1358997,-25389,31.015688,243.332488,31.9
564635905,1475256,-32618,18.78845,243.332488,31.9
564803530,1642881,-51127,7.64405,243.332488,31.9
565062509,0,62687,5.08805,243,31.5
565213120,150611,33489,17.832392,22.920442,31.5
