workout_time_usec,stroke_time_usec,tick_duration_usec,inst_drag,stroke_power,inst_spm
1015694040,1964057,-36191,15.268338,210.67827,25.3
1015863487,2133504,-52722,7.189632,210.67827,25.3
1016069400,0,205913,0.47045,210,25.6
1016245092,175692,40240,12.35045,12.8209,25.6
1016386226,316826,32202,19.28205,32.10295,25.6
1016503747,434347,27803,25.862432,57.965382,25.6
1016606710,537310,24653,32.902272,90.867654,25.6
1016701867,632467,23419,36.4658,127.333454,25.6
1016795236,725836,23315,36.791042,164.124496,25.6
1016891654,822254,24654,32.902272,197.026768,25.6
1017257228,1187828,-39504,12.811922,197.026768,25.6
1017374190,1304790,-27598,26.252258,197.026768,25.6
1017582132,1512732,-27804,25.862432,197.026768,25.6
1017712554,1643154,-37677,14.087432,197.026768,25.6
1017893287,1823887,-44676,10.017288,197.026768,25.6
1018044817,1975417,-37235,14.41845,197.026768,25.6
1018223816,2154416,-55113,6.581192,197.026768,25.6
1018440802,0,216986,0.4232,197,25.3
1018614010,173208,39395,12.882888,13.306088,25.3
1018755671,314869,32840,18.54405,31.850138,25.3
1018874260,433458,27794,25.876818,57.726956,25.3
1018976923,536121,24531,33.227552,90.954508,25.3
1019071011,630209,23089,37.515122,128.46963,25.3
1019162894,722092,22814,38.421378,166.891008,25.3
1019257253,816451,24119,34.378632,201.26964,25.3
1019638222,1197420,-40489,12.191922,201.26964,25.3
1019764552,1323750,-29219,23.420168,201.26964,25.3
1019873081,1432279,-26789,27.855648,201.26964,25.3
1019981133,1540331,-28574,24.486002,201.26964,25.3
1020113870,1673068,-37271,14.396978,201.26964,25.3
1020280443,1839641,-42735,10.9512,201.26964,25.3
1020437319,1996517,-38966,13.168712,201.26964,25.3
1020618192,2177390,-54331,6.7712,201.26964,25.3
1020879259,0,74393,3.612672,201,24.6
1021050885,171626,39034,13.117442,16.730114,24.6
1021188653,309394,31801,19.769472,36.499586,24.6
1021303424,424165,27070,27.291272,63.790858,24.6
